,ma_san_pham,prediction,binh_luan,ten_san_pham,diem_trung_binh,prediction_label
213,204100019,0,"Em này là chân ái đối với mình! Sau 7749 lần thử các loại sữa rửa mặt cho da mụn, nhạy cảm thì mình thấy em này là hợp nhất! Tuy em này không có mùi thơm nhưng về độ làm sạch da thì phải công nhận rất sạch ạ! Sau khi rửa không hề bị khô mà mềm thích lắm Khi sử dụng gần hết tuýp đầu tiên thì mặt sáng với sạch mụn hơn! Rất đáng mua nha mn",Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 200ml,5.0,positive
214,100180113,0,"Chân ái luôn, treatment ko thể thiếu e này",Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,4.4,positive
215,308900002,0,Chân ái của tui là ẻm. Từ ngày quen ẻm là trộm vía k thấy lên mụn. Dùng cả năm mới thấy hết 1 lọ. Bôi kem cn lên tone,Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,4.8,positive
216,204900009,0,"Chân ái, dùng nước tẩy trang này là ko muốn dùng loại nào khác. kể cả Bioderma cũng ko qua được e này. Mỗi tội giá cao quá thôi ạ",Nước Tẩy Trang La Roche-Posay Dành Cho Da Nhạy Cảm 200ml,4.8,positive
217,204900013,0,Ui chân ái của tui luôn r tội cái bôi vào hơi cay mắt,Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
218,204900013,0,"Đã đặt chai thứ 2. Chân ái luôn á mọi người. Mà tui sài hao quá trời. Có tháng là hết rồi. Da tui hhtd. Buổi sáng xịt khoáng ,thêm lớp serum c xong bôi em này không hề thấy vón chút nào. Lớp nền đẹp,nâng tông,kiềm dầu,chống nước! Nói chung là sẽ mua lại thêm N lần nữa!",Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
219,249500019,0,chân ái cho đi du lịch vừa chống nắng vừa nâng tông da luôn,Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),4.4,positive
220,213300003,0,"Chân ái của đời mình đây ạ. Sài 8 9 năm gì rồi, chỉ mỗi em này và mỗi em này thôi",Sữa Chống Nắng Bioré Sáng Hồng Tự Nhiên SPF50+/PA++++ 30ml,4.7,positive
221,422206043,0,"Chân ái của đời mình, xài ko biết bao nhiêu tuýp này rồi. Rẻ nhưng ngon bổ lắm nha mọi người, trị mụn cực tốt, da mặt mình ko thuộc loại mỏng hay nhạy cảm nên mình dùng hàng ngày như sữa rửa mặt luôn, còn bạn nào da mỏng thì nên xài 2-3 lần/ tuần thôi ạ. Hồi trước mình bị mụn nhiều kinh khủng, chỉ dùng srm này thôi mà dẹp được hết đống mụn luôn, nên cưng ẻm lắm. Có điều da sẽ hơi khô xíu nha!",Sữa Rửa Mặt St.Ives Tẩy Tế Bào Chết Hoa Hồng & Lô Hội 170g,4.8,positive
222,308900002,0,"Đúng là chân ái của đời mình. Nâng tông tự nhiên, thoáng da, nhẹ mặt. 10đ không có nhưng nha.",Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,4.8,positive
223,5,0,"""chân ái của đời mình. rất tốt cho da dầu, giúp da thông thoáng và căng bóng. tuy nhiên xài lâu ngày hơi bị """"lờn""""",,,positive
224,422205163,1,"chân ái của đời mình, viêm 3-4 cục mụn đỏ tối đắp em này trước khi ngủ, sáng hôm sau mụn không còn viêm nữa",Hộp 10 Miếng Mặt Nạ Naruko Ý Dĩ Nhân Đỏ Se Lỗ Chân Lông,4.9,negative
225,318900012,0,"chân ái của tui xài chai thứ 3 rồi cấp ẩm nhẹ , xài mướt da",Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,4.8,positive
226,249500014,0,chân ái của mình xài ok ko bị rát mặt,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Ngừa Mụn 25g,4.9,positive
227,422206648,0,xài chắc cũng chục chai rồi hihi không có gì để chê lun,Nước Tẩy Trang L'Oreal Căng Mịn Da 400ml,4.7,positive
228,422207413,0,"sd 2-3 chai rồi... ưng ý . không có chê bài gì với dòng này... kiềm dầu ổn. không bết dính, nâng tone đẹp. ai hổng có nhiều xiền thì có thể tham khảo ạ...",Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Cam),4.4,positive
229,249500013,0,sd 2-3 chai rồi... ưng ý . không có chê bài gì với dòng này... kiềm dầu ổn ... không bết. ai nghèo thì có thể tham khảo ạ...,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 25g,4.8,positive
230,422208181,1,"Loại này là khỏi chê nha, giá cả tốt , thành phần azeliac acid khoái ghê. Chăm thoa sáng tối là mờ thâm. Ước gì hasaki có nhập thêm luôn chai belazin trị mụn cùng hãng gamma là ủng hộ luôn","Gel Dưỡng Megaduo Plus Giảm Mụn, Mờ Thâm 15g",4.8,negative
231,422209719,2,Không có gì đáng chê nhưng cũng không xuất sắc.,"Combo Mặt Nạ Banobagi Dưỡng Sáng, Se Lỗ Chân Lông 30gx10",4.8,neutral
232,100220035,0,"E này thì khỏi chê nha, mình đã sài mấy chai rồi, giảm và hết mụn đầu đen rõ rệt nhé, thêm cái se khít lỗ chân lông.",Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,4.9,positive
233,204900010,0,"Không có gì để chê ngoại trừ giá hơi chát..hhh Tẩy trang sạch, da mềm mịn không khô ráp..","Nước Tẩy Trang La Roche-Posay Cho Da Dầu, Nhạy Cảm 200ml",4.5,positive
234,201600198,2,"nhiều bạn chê sp bị vón, nhờn rít thì nên xem lại bước serum và dưỡng ẩm, KCN này tốt về mọi thứ trừ việc nếu muốn dùng nó thì bước dưỡng da bạn không được sử dụng sp tạo ra vệt trắng (các sp nâng tone). Chỉ nên dùng bước dưỡng có chất gel dễ thấm vào da, bôi đều chờ 10p cho kem dưỡng thấm hết chất thì mới dùng kcn được. Ưu điểm của em này là da treatment nhẹ có thể dùng được, nhược thì như mình nói ở trên.",Kem Chống Nắng Vichy Chống Bụi Mịn Cho Da Dầu Mụn 50ml,4.2,neutral
235,253900004,1,"Xài tới chai thứ 3 roài không có gì để chê, 55ml xài sáng tối 8x8 là 16pump/ngày trong vòng 3 tháng mới hết lận đó bạn nào xài ít hơn mình nghĩ là nửa năm luôn Da mình trước đây hay bị đỏ, ngứa, mụn các loại mình xài em này kết hợp kem B5 của nhà LRP + kết hợp thêm một số sản phẩm khác + ăn uống khoa học thì tình trạng da mình khoẻ hơn rất nhiều",Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 55ml,4.7,negative
236,345800003,0,"K biết chê vào đâu luôn á, mấy bạn da dầu mụn xài thử đi nha. Tốt lắm á",Kem Dưỡng Some By Mi Hỗ Trợ Giảm Mụn 60g,4.6,positive
237,422204795,0,"Thấy nhiều người chê mà mình xài đỉnh nha, da mình đang sần sùi và hơi khô do thời tiết, kết hợp em này và HA Loreal mới 2 tuần da láng mịn. Chân ái cuộc đời","Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml",4.9,positive
238,211300002,0,"Thấy mọi người cứ chê em simple này nhỉ , mình xài thấy da cấp ẩm tốt giá vừa rẻ , sài mỗi ngày cho e này thì da mới cải thiện , nước thì lỏng nhưng công dụng nó khá hay , da bị mụn hay da bị kích ứng. Xài bé này mỗi ngày da đẹp lắm í .!",Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,4.8,positive
239,422212871,1,không có gì để chê ai chê nữa khỏi xài đỡ tốn,"Combo 10 Mặt Nạ Caryophy Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",5.0,negative
240,422203302,1,"Không có gì đáng chê trách, sản phẩm đúng với mô tả.",Bông Tẩy Trang Mihoo Kokimi Bông Tròn Túi 210 miếng,4.6,negative
241,205600318,2,"Chì khô, đầu mảnh, dễ kẻ nhưng cũng dễ trôi. Chì giòn, rất dễ gãy. Mình bị gãy hai lần là hết luôn cái bút. Điểm cộng là màu khá đẹp, sáng da, đặc biệt là với ai nhuộm tóc màu chocolate!",Chì Kẻ Mày Maybelline Nâu Tự Nhiên Natural Brown 0.16g,36.0,neutral
242,335500038,2,"Chì dễ kẻ , lên màu đẹp và mướt nhưng màu rất đậm.",Chì Kẻ Mày Lemonade 2 Đầu Màu Nâu Sáng 2g+2ml,40.0,neutral
243,100230026,0,check lại chính tả nghe shop,Nước Hoa Hồng Evoluderm Dành Cho Da Khô Và Nhạy Cảm 250ml,4.8,positive
244,224100002,0,Mình khá chú trọng vđề skincare nên mình thay đổi 7749 loại sp thương hiệu khác nhau từ tầm trung đến tầm đắt nhưng với e lotion HA của nhà labo này mình khen ạ ! Với mức giá rẻ nhưng chất lượng khá oke. Tuy là lotion nhưng cá nhân mình thấy cấp ẩm hơn hẳn serum ha của TO,Dung Dịch Hada Labo Dưỡng Ẩm Tối Ưu Cho Da Dầu 100ml,4.1,positive
245,318900002,1,"Không có gì quá đáng chú ý, sản phẩm bình thường.",Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.5,negative
246,422205163,1,"Không có gì quá đáng chú ý, sản phẩm đáp ứng yêu cầu cơ bản.",Hộp 10 Miếng Mặt Nạ Naruko Ý Dĩ Nhân Đỏ Se Lỗ Chân Lông,4.9,negative
247,422207812,0,Chúc mừng ae mua được sản phẩm tốt nhé,Combo Cocoon Big Size Tẩy Da Chết Toàn Thân 600ml & Mặt Từ Cà Phê Đắk Lắk 150ml,5.0,positive
248,345800002,2,"Không biết mọi người thế nào chứ mình dùng cả bộ tận 3 tháng mới thấy bớt chút đỉnh dù đã điều chỉnh chế độ sinh hoạt các thứ, nản thật",Serum Some By Mi AHA-BHA-PHA Cho Da Mụn 50ml,4.5,neutral
249,204100070,0,"Phải nói chăng da không bị nhăn thật khó,tìm hoài mới thấy Tinh chất cấp ẩm và ngăn ngừa lão hóa Eucerin Hyaluron- Filler Moisture Booster của Eucerin,mới dùng có tuần mà da căng và mệm mại,đẹp hơn trước.",Serum Eucerin Cấp Ẩm & Ngăn Ngừa Lão Hóa 30ml,4.9,positive
250,422207562,0,Chương trình mua 2 chai giá 295k có áp dụng hình thức mua trực tiếp ở tất cả các cửa hàng không ạ ?,Combo 2 Nước Tẩy Trang Cocoon Bí Đao Làm Sạch & Giảm Dầu 140ml,4.9,positive
251,204100023,0,Mấy lần chạy đồ án thâu đêm là trán mình hay bị nổi mụn. Khi đó thì mình hay dùng tuýp eucerin pro acne này chấm lên mấy nốt mụn là vài ngày đỡ ngay.,Gel Giảm Mụn Eucerin Dành Cho Mụn Viêm & Không Viêm 40ml,4.9,positive
252,204100023,0,loại này chấm hay thoa vậy ạ,Gel Giảm Mụn Eucerin Dành Cho Mụn Viêm & Không Viêm 40ml,4.9,positive
253,422208345,0,Mình chấm kcn này 6đ. Giá rẻ. Dùng hợp da thường ko có vấn đề gì như mụn hay nám. Nhưng cay mắt lắm mn ơi.,Kem Chống Nắng Hatomugi Nâng Tông & Dưỡng Ẩm Da 70g (Xanh Bạc Hà),4.1,positive
254,422203449,0,"chấm này k làm chai mụn, cồi lên nhanh và lấy ra dễ cực kỳ luôn mà không thâm",Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,positive
255,422203449,1,"dùng chấm mụn dùng bất ngờ cực, vì chám xong hôm sau da đỡ bị đỏ sưng tấy, khô cồi nhanh",Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,negative
256,422203449,0,"Chấm mụn thì mình kbt tại mình toàn làm bể mụn trước khi nó kịp khô. Nhưng sp này giảm thâm được thật mn ạ. Một sản phẩm chấm mụn mà tác dụng giảm thâm cũng oke, đỡ tiền mua sp trị thâm =)))) nhưng thâm mới thôi nhé mn",Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,positive
257,422203449,0,"dùng chấm lên mụn thì sau 2 ngày mụn đã khôi cồi, có khi rửa mặt nó tự ra luôn chứ không cần phải nặn luôn, nặn xong chấm để bớt mụn luôn",Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,positive
258,422203449,0,"chấm mụn, dùng nhanh chín mụn, không bị khô da, mình thấy mụn mình giảm đáng kể luôn kể",Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,positive
259,422203449,1,chấm mụn NEOGEN rất hiệu quả mình đã dùng chai thứ 4 da mình da dầu mụn nên hay nổi mụn viêm chấm mụn neogen này qua ngày sau là gom rồi bớt sưng viêm rất ok mình hết là mua chai để dành dùng lúc nào cũng có chai chấm mụn neogen cả,Chấm Mụn Neogen Dermalogy Hỗ Trợ Giảm Sưng Viêm 15ml,4.7,negative
260,248700054,0,"chấm mụn tốt nhất từ trước đến giờ mình sử dụng, mờ thâm và gom còi rất nhanh",Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,positive
261,248700054,0,"Kem chấm mụn tốt nhất, mình từng xài. Bữa xài trị mụn B.o.m cũng tốt, gom còi nhanh, nhưng xài được thời gian thì da khô quá khô dù có kết hợp cả bộ có kem dưỡng (da mình hh thiên khô), lướt web thấy kem này, mua thử, trời ơi tìm được chân ái, chấm gom còi siêu nhanh, trị thâm đỉnh hơn b.o.m luôn, xài lần đầu nó hơi rát nha, chấm nghe mùi giống cồn, nhưng tốt thật nha, nên xài thêm kem dưỡng ẩm, loại nào trị mụn cũng sẽ bị khô nếu xài lâu, nhất là mấy bạn giống mình, hh khô hay mụn vùng chữ T.",Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,4.9,positive
262,204100023,0,"chấm mụn đỉnh, gom cồi nhanh, nên kết hợp treatment rồi dùng em này okie, hoặc đi nặn cho sạch mụn rồi dùng duy trì",Gel Giảm Mụn Eucerin Dành Cho Mụn Viêm & Không Viêm 40ml,4.9,positive
263,308900002,0,"Tinh Chất Chống Nắng Dạng Nước TENAMYD SPF50/PA+++ 70ml , hàng rất ok tốt, giá hợp lý",Tinh Chất Chống Nắng Tenamyd Dạng Nước SPF50/PA+++ 70ml,4.8,positive
264,249500027,1,"Mình cần Pass lại chai tinh chất chống nắng skin aqua mint green do sử dụng không hợp, mới sử dụng được 2 lần liên hệ sđt hoặc zalo 0971513150 nha mua chính hãng tại hasaki luôn",Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Xanh),4.4,negative
265,222600030,0,Tinh chất thẩm thấu nhanh. Lên da ko có cảm giác rít da mềm mịn sướng lắm luôn,Nước Dưỡng Bio-essence Vàng 24K Ngừa Lão Hoá Da 150ml,5.0,positive
266,422208981,0,"Chất kem dày, bôi lên bị bí da nhaaaa. Này dưỡng mua đông cho da siêu khô thì ok ạ",Kem Dưỡng CeraVe Cho Da Khô Đến Rất Khô 340g,4.7,positive
267,422216990,0,"Chất kem dày, dính và rít nhẹ nhưng dễ xức, ko vón hay ghét, chống nắng tốt mà giá hợp lí, ko nâng tông cũng ko cay mắt. Ráng đáng thử nha mn.","Serum Chống Nắng L'Oreal Phổ Rộng Mỏng Nhẹ, Bảo Vệ Da 30ml",4.1,positive
268,422203371,0,"chất kem nên dưỡng ẩm nhẹ trước khi thoa thì lớp finish sẽ đẹp hơn. nên vỗ trên da chứ k thoa vòng tròn. màng lọc chống nắng ổn , chỉ có điều k kiềm dầu nha.",Tinh Chất Chống Nắng Bioré UV Sáng Rạng Rỡ 70g,4.3,positive
269,422205335,1,"tinh chất này dưỡng ẩm cũng thường không như quảng cáo, còn làm hồng môi cũng không thấy luôn đã qua một thời gian dùng. Nói chung tinh chất dưỡng này khá nhạt nhẽo","Tinh Chất Dưỡng Môi Senka Cấp Ẩm & Ngừa Khô, Nẻ Môi 10g",40.0,negative
270,223600058,0,Chất dạng gel da hhtk dùng cái này ổn chứ da khô thì ko đủ ẩm da hhtd vs da dầu thoa 1 lượng nhỏ để tránh bí da nhaaa . Đáng tiền lắm luônnnnn,Mặt Nạ Ngủ Senka Cấp Ẩm Chuyên Sâu Dạng Gel 50g,4.7,positive
271,422201725,0,"Chất dạng gel nước dùng thẩm thấu nhanh và ẩm thực sự siêu thích luonn. Da mình dầu mụn, khá nhạy cảm và dc nhân viên tư vấn cho e này dùng. Ban đầu khá phân vân nhưng đến khi dùng ưng cái bụng thật sự ạ. Nên mua nhé các bác",Kem Dưỡng B.O.M Chiết Xuất 8 Loại Trà Cấp Ẩm Da 50g,5.0,positive
272,358300001,1,"Chất kem của em này thuộc dạng đặc sệt, có base silicone, bám dính trên da tốt, nhờ đó nên các bạn hỗn hợp da dầu và dầu sử dụng thoải mái mà không cần mảy may sợ bết rít hay bóng dầu nhé. Đối với cá nhân mình, thì đây thuộc dạng chất kem mình hài lòng về độ thấm nhanh, khô ráo trên da, mình cực kì không thích dạng nào thoa lên là nhớt nhớt, không fix vào da, hên quá, dòng này thì êm. Vì là kết cấu dạng đặc, nên sử dụng tiết kiệm, 1 liều lượng nhỏ có thể dùng cho cả khuôn mặt. Mình hay sử dụng em này vào buổi tối trước khi ngủ, và lớp base trước lớp trang điểm vào buổi sáng thì, sau hơn 14 ngày sử dụng đều đặn không bỏ ngày nào thì mình quan sát thấy tông da mình đều hẳn, vì thường da mặt mình không đều với da cổ, trộm vía nay trắng bằng nhau rồi. 1 điểm mình thích nhất chính là mỗi buổi sáng dùng em này xong rửa mặt đi, da mình có độ glowy bóng bóng lên nhẹ rất tự nhiên, lượng dầu trên da mình không tiết ra nhiều nữa. Nói chung thì về việc sau 7 ngày thì da có sáng mịn lên, nhưng không rõ bằng qua 2 tuần. Chứng tỏ hiệu quả em này rất ổn, phù hợp với các bạn thích dưỡng da trắng tự nhiên, bóng khỏe. Mình là người khá kỹ tính trong thành phần, vì đã từng dính vào kem trộn nên từ lúc đó, phải đọc kỹ thành phần mới dám mua dùng, sợ kích ứng đấy mà. Thì khi đọc bảng thành phần của em này mình rút ra được các kết luận chung như sau: không cồn, chỉ số hương liệu khá thấp 0.05, thành phần lành tính và phù hợp hầu hết đa số loại da. Nói sâu hơn thì em này sỡ hữu các dạng hoạt chất mình khá tâm đắt: +Glutathione 700mg: Mình có thời gian tìm hiểu về dòng thành phần này, thì đây là dạng chất chống oxy hóa cao trong cơ thể, vì thế có thể nói rất an toàn cho da. Độ dưỡng trắng thuộc dòng dưỡng trắng chuyên sâu, tức sẽ làm trắng sâu từ bên trong, nên đó là việc lý giải sao sản phẩm kem dưỡng Angel’s Liquid sáng da, đều màu da rất tốt. Vì là chất chống oxy hóa, vì thế sản phẩm có luôn hiệu quả ngăn ngừa lão hóa, và tác nhân hình thành nếp nhăn. +Niacinamide: Đây là chất mình rất ưng ý, đứng thứ 2 trong bảng thành phần điều đó đồng nghĩa hàm lượng cao, phát huy tác dụng thu nhỏ lỗ chân lông, giúp da sáng mịn. 1 Điểm trừ này thuộc về mùi hương, vì mình là người khá nhạy cảm mà dòng này ít hương liệu nên tạo cảm giác mùi hơi nồng dạng thuốc, cũng đúng với thương hiệu dược mỹ phẩm, mình xài quen dược mỹ phẩm nên một hồi lâu sau quen dần. Tác dụng làm trắng tốt, sáng mịn da, nên rất ổn so với yêu cầu của mình. Sau thời gian sử dụng, mình khuyên dùng em này cho các bạn yêu thích làm trắng, trị thâm nám, làm đều màu da nhé.","Kem Dưỡng Angel's Liquid Làm Sáng Da, Mờ Thâm 50ml",4.5,negative
273,422208242,0,Tinh chất giúp da sáng đẹp tự nhiên,Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml,4.8,positive
274,345800009,0,"Tinh chất nhiều , hơi nhờn rít và cần rửa lại sau khi tháo ra","Mặt Nạ Some By Mi Tràm Trà Làm Dịu Da, Giảm Mụn 25g",4.9,positive
275,318900019,0,Chất kem hơi đặc thích hợp da khô nhạy cảm ko phù hợp da dầu,Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 30ml,4.8,positive
276,318900005,2,"Chất kem hơi đặc, thấm khá lâu trên nền da hhtd của mình. K hiểu sao sáng dậy mình bị đổ dầu khá nhiều (chắc do kem hơi bí), nhưng được cái sd kem này vài hôm thấy mụn ẩn lặn kha khá. Ncl cx ổn",Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g,4.8,neutral
277,318900005,0,Chất đặt dùng rất hợp cho da khô e này thiên về ẩm thì nhiều còn về mặt trị mụn thì k đâu.,Kem Dưỡng Ẩm Klairs Làm Dịu & Phục Hồi Da Ban Đêm 60g,4.8,positive
278,422203145,2,"chất kem khô nhanh, ko bị bết nhưng nâng tông chưa thích lắm, với da mình thì nâng tông ko thấy mấy. Ngoài ra còn khó tán nữa. ko hài lòng với lớp finish lắm. Điểm cộng là ko bết dính và lâu trôi.",Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Hồng),4.4,neutral
279,204900013,0,"Bản mới này chất kem ko bị khó tán đâu, không dễ vón nữa, kiềm dầu tốt, nhưng mà ko nâng tone tốt như bản cũ :((((",Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
280,204100013,0,"chất kem ko màu, ko muì, da mình là loại ngoài khô nhưng trong nhờn. Mình sử dụng kem thấy rất thích luôn, giúp da ẩm mượt dễ chịu.",Kem Dưỡng Ẩm Eucerin Chuyên Sâu Cho Da Khô 50ml,4.8,positive
281,253900010,0,Chất kem k quá đặt apply lên nhanh thấm,Kem Dưỡng Skin1004 Làm Dịu Da Chiết Xuất Rau Má 75ml,4.3,positive
282,422209427,2,"mình thấy tinh chất ko quá đặc, bôi lên hơi dính nhẹ, thấm ko nhanh bằng wonjin đâu. nói chung mk cx dùng ít nên ko thấy quá nhiều công dụng, đơn giản cấp ẩm, làm dịu bình thường",Mặt Nạ Mediheal Collagen Ngăn Ngừa Lão Hóa Da 24ml,4.0,neutral
283,422212330,1,"Chất kem oke, không vón, thành phần thì 10 tỷ cái màng lọc nhưng hơi mồ hôi là trôi thì bảo vệ kiểu gì hả cocoon ơi?",Combo Cocoon Kem Chống Nắng 50ml + Nước Tẩy Trang Bí Đao 500ml,4.6,negative
284,422209052,0,Chất kẹ thơm.dễ thẩm thấu vào da.mình bị nám nhẹ 2 bên gồ má.mới xài nên chưa biết hiệu quả thế nào,"Kem Dưỡng Swiss Image Sáng Da, Giảm Thâm Nám Ban Đêm 50ml",4.9,positive
285,249500007,0,Lên da nhe tênh chất lương,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,4.8,positive
286,248700055,0,Mình sài 4 chai rồi chất lương quá oke luôn sài k bị bết rích xí nào,Sữa Dưỡng Naris Cosmetics Hyaluronic Acid Cấp Ẩm Da 150ml,5.0,positive
287,224100002,1,"Chất lotion khá lỏng, có hạt li ti rất nhỏ. Khi dùng t thường đổ ra tay sau đó mới apply lên da mặt. Chai 100ml t dùng khá lâu, không thấy lên mụn. T dùng sửa rửa mặt Hadalabo màu trắng và Lotion cho da dầu thì hợp. T đã dùng thử kem dưỡng ẩm nhưng không hợp da.",Dung Dịch Hada Labo Dưỡng Ẩm Tối Ưu Cho Da Dầu 100ml,4.1,negative
288,422203617,0,"Chất kem khá lỏng, cấp ẩm ok đó, ko bị bệt trắng hay tách nước, so với B5 laroche thì cá nhân mình sẽ thích B5 hơn tại vì loại này vỏ của nó bằng thiếc, vặn cái miệng nắp vài bữa là nó rỉ rỉ mấy vòng đen ra ấy, phải chùi lau thường xuyên chứ chẳng may nó dính vào kem, bôi lên da kích ứng kim loại chết luôn, mình bị rồi nha",Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 75ml,4.7,positive
289,204900013,1,"Bản mới chất kem màu hơi vàng mùi cồn nồng quá lại không nâng tông da, khá thất vọng",Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,negative
290,422216354,0,"chất kem màu trắng mỏng nhẹ, thoa lên da thấm nhanh, giúp giảm mụn hiệu quả, có thể dùng cho da nhạy cảm và bé trên 10t nên mình mua cả mình và em gái, cháu gái đều dùng được, rất tốt",Kem Dưỡng La Roche-Posay Giảm Mụn Hiệu Quả 7.5ml,4.9,positive
291,422207414,0,"Xài 3 chai tinh chất màu tím giờ chuyển qua chai này, chất sửa màu hồng nhạt mùi thom dê chịu và mỏng nhẹ, k bị đổ dầu.",Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Cam),4.8,positive
292,422204777,0,"Chất kem mát mịn, thẩm thấu nhanh. Thoa xong mặt rất nhẹ ko bết dính. Ko mùi luôn mình rất thích. Lớp finish hơi bóng xíu nha mọi người.",Kem Chống Nắng Hatomugi Dưỡng Ẩm & Làm Sáng Da 80g,4.1,positive
293,358300002,0,"dùng ok, k có chất tạo mùi nên là mùi hơi hoá học 1 chút nhưng dùng rất tốt, nhỏ lcl, da sáng hơn nhanh","Serum Angel's Liquid Dưỡng Sáng Da, Mờ Thâm 30ml",4.7,positive
294,422208981,0,Chất kem mướt khô,Kem Dưỡng CeraVe Cho Da Khô Đến Rất Khô 340g,4.7,positive
295,422201092,0,"chất mask ôm da, nhiều dưỡng, đắp ẩm lắm, mình dùng những ngày da xuống cấp là sáng lại hẳn luôn",Mặt Nạ Sur.Medic+ Cấp Nước & Cấp Ẩm Chuyên Sâu 30g,5.0,positive
296,422209720,1,"tinh chất khá nhiều, mặt nạ ôm sát mặt nhưng lúc đắp và đắp xong cảm giác cực kì thoải mái, không bị kích ứng, sáng hôm sau thấy da mướt hơn, sẽ mua 1 hộp 10 miếng để dùng","Combo Mặt Nạ Banobagi Dưỡng Sáng, Hỗ Trợ Nâng Cơ 30gx10",4.8,negative
297,422211226,2,"Chất son mịn nhưng ko lì mọi người ơi, uống nước thôi cũng trôi hết son",Son Kem Maybelline Mịn Lì Như Nhung CM17 Hạt Dẻ 6.4ml,47.0,neutral
298,422212330,0,"Chất kem mịn,không cay mắt nhưng kiềm dầu không nhiều. Dùng gần hết chai(tầm hơn 3 tháng) thì thấy khi bôi lên mặt sẽ bị vón cục",Combo Cocoon Kem Chống Nắng 50ml + Nước Tẩy Trang Bí Đao 500ml,4.6,positive
299,422212100,2,"chất mịn, da mình trắng nên nâng tông tệp vào da rất đẹp, hơi dính màu ra ktrang, ra mồi hôi ria mép và mũi là có màu trắng nên mình k thích lắm",Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 20ml,4.6,neutral
300,422200236,1,"Chất kem mịn dễ tán thấm nhanh khô ráo, mà cái mùi quá nồng, ai bị viêm xoang viêm mũi nên cân nhắc",Kem Chống Nắng MartiDerm Phổ Rộng Bảo Vệ Toàn Diện 40ml,5.0,negative
301,422209042,0,"Chất gel mịn và đậm đặc hơn so với các loại gel khác mình đã từng sử dụng, xài lên da ngay lần đầu tiên là thấy có sự khác biệt, da mặt sau khi rửa cảm giác sạch sâu, mềm mịn như được cấp thêm nước nên cảm giác khá dễ chịu. Tặng thêm cái gương mini xinh xắn. Sẽ tiếp tục ủng hộ",Gel Rửa Mặt Swiss Image Cho Da Hỗn Hợp Và Dầu Mụn 200ml,5.0,positive
302,248700057,0,"Chất kem mỏng nhẹ, thấm nhanh, không gây bí da. Dùng sau 1 tuần da căng mịn hơn hẳn. Mình được bạn nhân viên tư vấn rất nhiệt tình, đúng hiệu quả hơn mong đợi ạ. Mn nên dùng thử để trải nghiệm ạ",Kem Dưỡng Naris Cosmetics Cấp Ẩm Chuyên Sâu 48g,5.0,positive
